ID,MAC ,lat,Lot,hight
Efrat,40:65:a3:35:4c:c4,32.17218268216534,34.81446401702757,13.65040888895076
Volvo247,08:97:58:32:69:c6,32.172209259560766,34.814448298318844,15.376435938028058
love,14:ae:db:58:73:75,32.17227982731022,34.81430185362791,29.840706046373377
Chakir,00:12:2a:35:c8:7c,32.17228483399432,34.814036899369874,30.59005383029067
Orit,c4:a8:1d:12:7d:4c,32.17230733807558,34.81387685906902,30.93962047051264
Mevohot_1,20:0c:c8:1b:a2:48,32.172382685741084,34.81336124587249,31.34185373223523
DIR-825-4f83,80:26:89:0d:4f:84,32.172191700407154,34.81297313108941,30.83227147810524
NIPPON_3687,08:97:58:32:d2:98,32.172505009752726,34.812576281283306,31.653051914167424
Hotbox0,00:78:9e:f9:e8:58,32.1725225188478,34.81247911919242,31.65132309930995
varda,c4:12:f5:85:27:c2,32.172054711203565,34.81202434285178,31.40735962512961
Helen.,a0:ab:1b:57:cd:42,32.17229408710547,34.812042356198646,31.564860016164797
Ben Ami_2.4,c4:04:15:60:6a:b5,32.171728186062275,34.8118405837912,31.304450332777215
ronkla2_5,3c:1e:04:07:2a:ff,32.17135803478369,34.81168874408503,31.090525572576983
mika1,c4:12:f5:fb:c0:3e,32.17117720998362,34.811600945951724,30.92205515278031
Gana7_2GExt,64:d9:54:e4:95:37,32.17061250500982,34.81130191879183,30.49189808903073
Guymic,14:ae:db:b7:99:2d,32.1704220061369,34.811205413681165,30.648087593734655
stephane,00:24:2b:cf:13:21,32.17023774400125,34.811098338566204,30.628472758571263
devolo-0f4,30:d3:2d:37:20:f4,32.170053389171805,34.81099874038432,30.62659341727973
HOTBOX-4D4E0,00:78:9e:fb:1e:09,32.170053389171805,34.81099874038432,30.62659341727973
Neeman2.4,20:0c:c8:1d:c8:2b,32.16988410573102,34.81092582224991,30.446072012812692
oved-main_2EX0,74:da:38:97:66:9d,32.16988410573102,34.81092582224991,30.446072012812692
oved-main,74:da:39:54:b8:1d,32.16949700158824,34.810774585385694,29.717421246235904
Lili,c4:12:f5:f9:5c:7c,32.169491346626565,34.81077184677352,30.418708757918328
Liliup0,74:da:38:c3:12:45,32.169491346626565,34.81077184677352,30.418708757918328
Liliup4,20:0c:c8:0f:21:93,32.1694643915073,34.81142121516088,28.87029464793186
Liliup8,10:fe:ed:74:fc:46,32.169491346626565,34.81077184677352,30.418708757918328
Bezeq Free T00C360,5a:0c:c8:0f:21:90,32.169463487897616,34.81144298377373,28.81838755180446
dlink-A09C,ac:f1:df:76:a0:9c,32.16939849690679,34.81074036189685,30.417555185780614
edimax_5G_A9241C,74:da:38:a9:24:1c,32.16935940800852,34.81072496254775,30.408083632363006
spielman,7c:b7:33:2b:c4:52,32.16935940800852,34.81072496254775,29.922548673825318
forestisthebest,c8:d7:19:da:03:16,32.16935940800852,34.81072496254775,30.40255871721028
evanson,7c:03:4c:fe:f6:68,32.16935940800851,34.810724962547745,29.763062983319177
KaymeraDev,00:f6:63:15:58:81,32.169359408008525,34.81072496254776,29.669900058731894
BezeqNGN_001489_2.4GHz_1,c0:a0:bb:cb:59:5b,32.16935940800852,34.81072496254775,29.326111975136897
spielman,f4:f2:6d:34:56:54,32.169212309411726,34.81068174685835,28.88632120680592
Jamcanup,74:da:38:c3:0d:6b,32.16917019230133,34.8106650271149,28.810367981340118
Jamcandown0,74:da:38:b6:f6:c9,32.16917019230133,34.8106650271149,28.810367981340118
edimax_2.4G_ruty,74:da:38:d3:bb:81,32.16917019230133,34.8106650271149,28.773555043061783
HP-Print-C1-Deskjet 4640 series,28:80:23:f6:e0:c1,32.16908653454277,34.810640912666734,28.399939779566623
iFOREX,f8:d1:11:b1:92:93,32.168881406149175,34.81057058716543,27.5643827071327
Candan,c0:ff:d4:7b:82:30,32.169251891925285,34.81204437555799,27.60143256778322
INGENEO0,cc:b2:55:e8:4c:e6,32.16878253500298,34.81061687133246,27.49950646026102
INGENEO4,aa:6b:ad:04:c6:a8,32.16878253500298,34.81061687133246,27.49950646026102
LRWN,ec:8c:a2:09:dd:48,32.168798765383805,34.8114187174441,26.987957516648866
HOTBOX111,c0:ac:54:f6:ae:5e,32.16875525343879,34.81129910090613,26.895184619901016
  InnovationEndeavors0,74:da:38:a9:1c:df,32.16883769901991,34.81174537287164,26.96056003278366
  InnovationEndeavors4,b4:ee:b4:36:dd:b9,32.16883769901991,34.81174537287164,26.96056003278366
LRWN,0c:f4:d5:29:a2:9c,32.16932326093541,34.81204130223837,28.1339814631562
Talfamily0,e0:ce:c3:86:a7:9e,32.16889805537721,34.81183319930766,27.057519941460445
HOTBOX-8156,b4:ee:b4:a7:81:5c,32.16909112707448,34.81193255078027,27.16529272330712
Fuck Off Yourself,16:ae:db:c1:ae:55,32.16927107246911,34.81201044802282,27.21999505256496
Fuck Off ext0,a4:2b:b0:e0:3a:01,32.16927107246911,34.81201044802282,27.21999505256496
Fuck Off ext4,86:2a:a8:eb:a9:60,32.16927107246911,34.81201044802282,27.21999505256496
nina,20:0c:c8:2b:2a:14,32.16959158163571,34.81245713194793,29.529111594611685
hilda,00:30:4f:91:36:07,32.1695720901851,34.813408321637986,27.26150168083893
DIRECT-29-HP OfficeJet Pro 87100,ec:8e:b5:05:57:19,32.1695720901851,34.813408321637986,27.261501680838933
dlink,00:24:01:18:99:57,32.17010132675571,34.813514176763185,29.07004588283799
orange,00:21:04:e7:95:da,32.17019245706264,34.813527839841825,29.307093300753618
orange4,62:19:8f:46:9f:bf,32.17010132675571,34.813514176763185,29.07004588283799
HOTBOX-F028,18:1e:78:86:03:15,32.17042884309843,34.81356387819144,29.626149949895638
HOTBOX-F0280,00:78:9e:fa:6f:c3,32.17042884309843,34.81356387819144,29.626149949895634
amnon,c0:ac:54:f8:6c:8a,32.17061830172761,34.813595071211296,29.52318190197716
Is0,16:0c:c3:ee:27:39,32.17061830172761,34.813595071211296,29.523181901977164
My_Internet,fc:75:16:2e:5a:47,32.170877887480664,34.813542057430155,29.144096091511305
Beni,c4:12:f5:f4:82:42,32.17082068222443,34.81364029266309,29.535632790368016
HOTBOX0,c0:ac:54:f7:42:60,32.17088608548973,34.81365460589075,29.511294250005236
HOTBOX111,c0:ac:54:f7:3c:c2,32.17098714928447,34.81362985551846,28.81880764900309
MNP_HOME_2.4GHz_10,04:a1:51:e0:5f:ee,32.17106789784238,34.81350325265134,28.866614638393767
MNP_HOME_2.4GHz_14,00:12:2a:d2:0c:38,32.17106789784238,34.81350325265134,28.866614638393763
Yotam _ work _ room,d8:5d:4c:d1:4d:b0,32.17107862941617,34.81330158971711,28.915995433589472
sirocco_2.4o4,90:8d:78:54:22:a2,32.171090817089556,34.81318200182429,28.892305021972785
nurit,a0:4f:d4:45:1f:a1,32.17110086640514,34.813083395926654,28.872771152386353
sirocco_2.4o0,c4:e9:84:83:1a:0a,32.17110086640514,34.813083395926654,28.87277115238635
sirocco_2.4o8,14:ae:db:b7:ab:ad,32.17110086640514,34.813083395926654,28.872771152386346
sirocco_2.4o12,90:8d:78:54:22:a1,32.17110086640514,34.813083395926654,28.87277115238635
sirocco_2.4o16,14:cc:20:09:3c:b9,32.17110086640514,34.813083395926654,28.87277115238635
sirocco_2.4o20,b0:5a:da:fa:44:76,32.17110086640514,34.813083395926654,28.87277115238635
Oded 5Ghz0,00:12:2a:e1:6c:4c,32.17115934972761,34.81282408882299,29.621222961671247
Oded 2.4Ghz,00:12:2a:e1:6c:48,32.17110943031911,34.81279077549982,29.792790905844992
SIEMENS_LivingRoom,d4:6e:0e:3c:44:e1,32.17028599663912,34.812613739872425,28.986654252762637
frank,e8:94:f6:e2:6e:4b,32.17022873083198,34.812605040307425,29.474734770657882
TP-LINK_E3CA0,84:16:f9:e4:e3:ca,32.17026748685567,34.81278321992516,29.0136877102822
ter123,70:4d:7b:0c:89:50,32.17035362742008,34.81282307011777,29.912945400465937
Daizad0,e8:cc:18:ac:1b:e1,32.17024204862788,34.813533118254576,29.09677084835438
Daizad,e8:cc:18:ac:1a:52,32.170307583918806,34.81358034712056,29.23477071711897
yotam17,b0:b2:8f:36:a2:b3,32.17050412989869,34.813608312741444,29.49532062714165
HOTBOX4,10:5a:f7:08:27:71,32.17094894909989,34.81367243117691,29.871227188060253
yotam17,f8:ab:05:e9:6d:3d,32.1711226542225,34.81334830357392,30.374327846195634
Yotam_Shir0,00:26:5a:24:f4:f0,32.1711226542225,34.81334830357392,30.374327846195637
claire,cc:b2:55:67:2b:85,32.17092410916535,34.81275918581424,29.998889595076953
Bezeq Free 672B840,62:b2:55:67:2b:86,32.17092410916535,34.81275918581424,29.998889595076953
BezeqFree,5a:ab:1b:62:0d:fd,32.17009177038523,34.8123924291015,30.961174799733378
geller0,00:78:9e:fa:3b:62,32.17009177038523,34.8123924291015,30.961174799733378
DIRECT-1C-HP DeskJet 3830 series0,94:57:a5:4b:4f:41,32.16964553962474,34.812198841457004,30.62408958535301
UFI_UF230_B3F,00:0b:6c:4d:1b:3f,32.17027101545696,34.81249641883067,29.689934265032008
UFI_UF230_B3F4,00:1c:10:09:4f:bc,32.16998611813103,34.812356059494775,30.039615793034166
WR,00:30:4f:82:7b:30,32.16921657591955,34.8119993015223,30.246080183177583
klaiman,a0:ab:1b:62:0d:fc,32.16966784477381,34.81221464133644,30.10120012838917
HOTBOX-651B,54:64:d9:5f:59:83,32.169449438584905,34.81211574693812,29.925594414509078
landau,74:da:38:14:4b:88,32.169817000218366,34.81230905410695,29.981431367801644
TUCHLER0,00:26:5a:69:94:e3,32.170654027529686,34.81268553093009,29.21502010815968
Laufer-wifi,4c:60:de:51:8b:ca,32.17081209129427,34.812767664505046,28.924403723449103
HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,32.17095455549593,34.81282029540289,29.011697047706974
Bezeq Free GA32E3,52:b0:ce:ac:32:98,32.172359339129684,34.81383247774181,31.35812286745131
Lahav0,08:3e:5d:5c:72:5e,32.172359339129684,34.81383247774181,31.35812286745131
